"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","dfTime","stepsDistanceRatio","type","distance"
"1",1,"4/12/2016",13162,8.5,8.5,0,25,13,328,728,1985,2016-04-12,1548.47058823529,"VeryActiveDistance",1.87999999523163
"2",1,"4/12/2016",13162,8.5,8.5,0,25,13,328,728,1985,2016-04-12,1548.47058823529,"ModeratelyActiveDistance",0.550000011920929
"3",1,"4/12/2016",13162,8.5,8.5,0,25,13,328,728,1985,2016-04-12,1548.47058823529,"LightActiveDistance",6.05999994277954
"4",1,"4/12/2016",13162,8.5,8.5,0,25,13,328,728,1985,2016-04-12,1548.47058823529,"SedentaryActiveDistance",0
"5",2,"4/13/2016",10735,6.96999979019165,6.96999979019165,0,21,19,217,776,1797,2016-04-13,1540.17221278924,"VeryActiveDistance",1.57000005245209
"6",2,"4/13/2016",10735,6.96999979019165,6.96999979019165,0,21,19,217,776,1797,2016-04-13,1540.17221278924,"ModeratelyActiveDistance",0.689999997615814
"7",2,"4/13/2016",10735,6.96999979019165,6.96999979019165,0,21,19,217,776,1797,2016-04-13,1540.17221278924,"LightActiveDistance",4.71000003814697
"8",2,"4/13/2016",10735,6.96999979019165,6.96999979019165,0,21,19,217,776,1797,2016-04-13,1540.17221278924,"SedentaryActiveDistance",0
"9",3,"4/14/2016",10460,6.73999977111816,6.73999977111816,0,30,11,181,1218,1776,2016-04-14,1551.92883608432,"VeryActiveDistance",2.44000005722046
"10",3,"4/14/2016",10460,6.73999977111816,6.73999977111816,0,30,11,181,1218,1776,2016-04-14,1551.92883608432,"ModeratelyActiveDistance",0.400000005960464
"11",3,"4/14/2016",10460,6.73999977111816,6.73999977111816,0,30,11,181,1218,1776,2016-04-14,1551.92883608432,"LightActiveDistance",3.91000008583069
"12",3,"4/14/2016",10460,6.73999977111816,6.73999977111816,0,30,11,181,1218,1776,2016-04-14,1551.92883608432,"SedentaryActiveDistance",0
"13",4,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,146,1294,1432,2016-04-12,1537.28815215901,"VeryActiveDistance",0
"14",4,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,146,1294,1432,2016-04-12,1537.28815215901,"ModeratelyActiveDistance",0
"15",4,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,146,1294,1432,2016-04-12,1537.28815215901,"LightActiveDistance",5.30999994277954
"16",4,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,146,1294,1432,2016-04-12,1537.28815215901,"SedentaryActiveDistance",0
"17",5,"4/13/2016",7007,4.55000019073486,4.55000019073486,0,0,0,148,1292,1411,2016-04-13,1539.99993544359,"VeryActiveDistance",0
"18",5,"4/13/2016",7007,4.55000019073486,4.55000019073486,0,0,0,148,1292,1411,2016-04-13,1539.99993544359,"ModeratelyActiveDistance",0
"19",5,"4/13/2016",7007,4.55000019073486,4.55000019073486,0,0,0,148,1292,1411,2016-04-13,1539.99993544359,"LightActiveDistance",4.55000019073486
"20",5,"4/13/2016",7007,4.55000019073486,4.55000019073486,0,0,0,148,1292,1411,2016-04-13,1539.99993544359,"SedentaryActiveDistance",0
"21",6,"4/14/2016",9107,5.92000007629395,5.92000007629395,0,0,0,236,1204,1572,2016-04-14,1538.34457476919,"VeryActiveDistance",0
"22",6,"4/14/2016",9107,5.92000007629395,5.92000007629395,0,0,0,236,1204,1572,2016-04-14,1538.34457476919,"ModeratelyActiveDistance",0
"23",6,"4/14/2016",9107,5.92000007629395,5.92000007629395,0,0,0,236,1204,1572,2016-04-14,1538.34457476919,"LightActiveDistance",5.90999984741211
"24",6,"4/14/2016",9107,5.92000007629395,5.92000007629395,0,0,0,236,1204,1572,2016-04-14,1538.34457476919,"SedentaryActiveDistance",0.00999999977648258
"25",7,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,2,51,256,1131,3199,2016-04-12,1376.31917969771,"VeryActiveDistance",0.140000000596046
"26",7,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,2,51,256,1131,3199,2016-04-12,1376.31917969771,"ModeratelyActiveDistance",2.29999995231628
"27",7,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,2,51,256,1131,3199,2016-04-12,1376.31917969771,"LightActiveDistance",5.32999992370605
"28",7,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,2,51,256,1131,3199,2016-04-12,1376.31917969771,"SedentaryActiveDistance",0
