"","dfTime","Calories"
"1",2016-04-12,2390.69696969697
"2",2016-04-13,2286.63636363636
"3",2016-04-14,2356.39393939394
"4",2016-04-15,2355.18181818182
"5",2016-04-16,2392.9375
"6",2016-04-17,2230.96875
"7",2016-04-18,2333.375
"8",2016-04-19,2359.09375
"9",2016-04-20,2395.21875
"10",2016-04-21,2421.875
"11",2016-04-22,2327.65625
"12",2016-04-23,2397.15625
"13",2016-04-24,2291.4375
"14",2016-04-25,2349.5625
"15",2016-04-26,2331.375
"16",2016-04-27,2328.5625
"17",2016-04-28,2316.0625
"18",2016-04-29,2272.5625
"19",2016-04-30,2373.93548387097
"20",2016-05-01,2230.43333333333
"21",2016-05-02,2275.44827586207
"22",2016-05-03,2453.89655172414
"23",2016-05-04,2283.13793103448
"24",2016-05-05,2415.06896551724
"25",2016-05-06,2375.06896551724
"26",2016-05-07,2246.24137931034
"27",2016-05-08,2303.44444444444
"28",2016-05-09,2335.66666666667
"29",2016-05-10,2229.34615384615
"30",2016-05-11,2190.08333333333
"31",2016-05-12,1139.28571428571
