"","dfTime","Calories"
"1",2016-04-12,78893
"2",2016-04-13,75459
"3",2016-04-14,77761
"4",2016-04-15,77721
"5",2016-04-16,76574
"6",2016-04-17,71391
"7",2016-04-18,74668
"8",2016-04-19,75491
"9",2016-04-20,76647
"10",2016-04-21,77500
"11",2016-04-22,74485
"12",2016-04-23,76709
"13",2016-04-24,73326
"14",2016-04-25,75186
"15",2016-04-26,74604
"16",2016-04-27,74514
"17",2016-04-28,74114
"18",2016-04-29,72722
"19",2016-04-30,73592
"20",2016-05-01,66913
"21",2016-05-02,65988
"22",2016-05-03,71163
"23",2016-05-04,66211
"24",2016-05-05,70037
"25",2016-05-06,68877
"26",2016-05-07,65141
"27",2016-05-08,62193
"28",2016-05-09,63063
"29",2016-05-10,57963
"30",2016-05-11,52562
"31",2016-05-12,23925
